x0,x1,Duration
0.1036,-1.6016,15.6961
-1.2018,2.4509,14.7816
-1.3926,-1.8717,17.4121
-1.1856,0.0228,15.5578
3.0552,-0.5592,14.3937
-2.3923,-0.1495,16.3105
1.3845,-0.3354,14.7405
1.5611,0.2011,14.4398
-0.4756,2.0854,14.5921
0.9529,-2.7753,15.5714
1.1915,1.1829,14.0559
-0.4304,-0.9367,15.6969
0.3478,1.0338,14.5798
-1.2680,0.4031,15.3967
2.2844,0.0176,14.2678
0.4148,0.0266,14.9332
0.2292,-0.8440,15.3172
0.1331,1.9453,14.3258
3.3173,0.2339,13.7112
1.6852,-1.0482,14.8980
-0.3227,-1.9437,16.2125
0.7871,1.0140,14.3788
-0.4738,-0.1827,15.3489
-2.9479,-0.3347,16.8709
2.1331,1.7956,12.7277
1.1154,-0.4198,14.8554
1.2641,1.0376,14.1028
1.3163,1.2789,13.9109
-1.4032,-1.0935,16.5525
-0.7642,-1.3226,16.1817
-0.4602,1.2398,14.8309
-1.2209,0.7045,15.2509
1.3137,-0.6293,14.8669
1.5752,-1.2121,14.9713
1.5823,-2.3591,15.2166
1.3128,-0.0020,14.6285
-0.2481,-1.5015,15.8879
1.2573,1.2080,13.9979
-0.9255,1.1392,15.0120
0.4237,-0.4294,15.0910
0.5832,-0.1177,14.9257
0.8059,0.3719,14.6593
-1.9865,0.1066,15.8710
-0.0177,-1.8677,15.9086
-0.7617,-0.6180,15.7109
-1.2015,-1.4017,16.6612
0.3747,1.0650,14.5551
-1.3911,-2.3481,18.0096
0.7351,1.9221,13.9297
0.3265,0.8685,14.6539
0.4161,1.6258,14.2940
1.6514,-2.3070,15.1869
-0.9442,-0.1075,15.5194
-1.9781,-0.1682,16.0920
-0.4906,2.1754,14.5744
-0.6699,0.1413,15.2883
-2.9396,-0.6455,17.3381
-0.8312,-2.4690,17.2296
-0.3460,-2.7323,16.7489
1.2068,0.4224,14.4738
-2.2971,0.9981,15.4310
-1.4276,-0.5650,16.0894
0.9206,-0.3991,14.9106
0.1254,0.3668,14.9148
0.0008,-0.1465,15.1455
0.7181,1.3455,14.2513
0.0322,0.1032,15.0424
0.9620,0.6691,14.4617
0.9965,1.2784,14.1201
0.2327,-0.3689,15.1399
4.1783,0.4236,13.2279
0.6579,-0.9048,15.1668
0.2150,0.4025,14.8696
-2.1248,-0.5775,16.6050
-0.5280,-1.4499,16.0740
0.3019,2.5901,13.9409
0.2930,3.6063,13.5496
-1.0544,1.8572,14.8587
-1.8626,-0.5530,16.3833
0.0863,-1.1950,15.5273
-1.0037,-1.8288,16.8565
-1.4094,0.6183,15.3475
0.0374,1.0240,14.7144
0.2240,0.2526,14.9202
0.4255,0.2936,14.8326
2.6438,1.7972,12.1804
-0.1015,-1.4078,15.7369
1.7993,-1.1463,14.8986
-0.1682,-0.5770,15.3865
1.0014,1.2392,14.1398
-1.2836,-2.1467,17.5832
0.1976,0.4199,14.8697
0.2736,0.9405,14.6483
1.4797,1.2538,13.8154
-1.7096,-0.6787,16.3956
3.7672,0.5088,13.2393
-0.1547,1.1049,14.7617
-1.0765,0.9422,15.1201
-0.3622,0.6061,15.0033
-0.0885,-1.6134,15.8319
-1.5578,-0.1772,15.8668
-0.4900,0.3806,15.1280
3.9968,0.4321,13.2640
0.1379,-0.8025,15.3413
-0.6748,-1.1498,15.9889
-0.4857,0.2293,15.1838
-0.8987,0.0139,15.4381
-1.5283,-2.4527,18.3993
0.1163,-1.0586,15.4545
-0.5921,-1.5222,16.1773
-1.8501,2.1363,14.9938
1.4307,-0.6239,14.8312
-3.4801,1.2603,15.5318
1.0493,-1.1569,15.1081
1.1094,-1.1880,15.0976
-0.9003,-0.0702,15.4805
-0.3013,-0.7609,15.5349
0.8589,1.9238,13.8312
1.2667,-0.2476,14.7442
1.0047,-1.5551,15.2347
-0.1725,-2.1585,16.1991
-1.5694,1.8358,14.9971
-0.2116,-1.5709,15.8992
1.6488,1.2183,13.7228
0.2747,-2.3163,15.8872
